Catalogue Number,Taxon,date ,ecological zone,Zones,meanannual,subspecies,State,county,Sex,Mesowear Score m1 (R),Part Scored,Mesowear Score m1 (L),Part Scored,AverageMSm1,Mesowear Score m2 (R),Part Scored,Mesowear Score m2 (L),Part Scored,AverageMSm2,Mesowear Score m3 (R),Part Scored,Mesowear Score m3 (L),AverageMSm3,Part Scored,Mesowear Score M1 (R),Part Scored,Mesowear Score M1 (L),Part Scored,Mesowear Score M2 (R),Part Scored,Mesowear Score M2 (L),part scored,Mesowear score M3 (R),Part Scored,Mesowear Score M3 (L),Part Scored,Man m3 Width mm,Man m3 Height mm,Man m2 width ,Man m2 Height ,Man m1 width ,Man m1 Height ,m2 mesiodistal length (R),m2 mesiodistal length (L),m3 mesiodistal length (R),m3 mesiodistal length (L),HIm3,HIm2,HIm1,Height / Mesiodistal Length m2,Left Premolar Row Length (Maxilla) mm,Left Premolar Row Length (Mandible) mm,Skull Length mm,Muzzle Width mm,Palate Width mm,Anterior Jaw Maxilla mm,Anterior Jaw Mandible mm,Length of Molar Row (L Man) (mm),Height of Man behind M3 L (mm),Height of Man infront M1 L (mm),Length of L Man (mm),gonion ventrale–coronion L Man (mm),
 LACM 13606,Odocoileus virginianus,,14.5.2,Closed Woodlands,,,Mexico,"Colima, Mixcuate, 5 miles east of camotalan",F,1,metaconid,1,metaconid,1,0,metaconid,0,metaconid,0,0,metaconid,0,0,metaconid,1,paracone,1,paracone,1,metacone,1,metacone,0,metacone,0,metacone,8.83,9.48,9.32,8.04,7.42,5.26,14.09,,18.31,,1.073612684,0.862660944,0.708894879,0.570617459,,,,,,,,,,,,,
 LACM 30196,Odocoileus hemionus ,,6.2.11,Closed Woodlands,1438,,CA,Mendocino county,M,1,metaconid,1,metaconid,1,1,metaconid,1,metaconid,1,1,metaconid,1,1,metaconid,1,paracone,1,metaconid,1,metaconid,1,metaconid,1,metaonid,1,paracone,,,,,,,,,,,,,,,,,,,,,,,,,,,
 LACM 30199,Odocoileus virginianus,,,,,,SW,,M,1,metaconid,1,metaconid,1,1,metaconid,1,metaconid,1,1,entoconid,,1,,1,paracone,1,paracone,1,paracone,1,paracone,1,paracone,1,paracone,9.77,10.37,9.89,9.6,8.53,7.11,14.19,,17.26,,1.061412487,0.970677452,0.833528722,0.67653277,,,,,,,,,,,,,
 LACM 30298,Odocoileus hemionus ,,11.1.1,Open Woodlands,548,,CA,Monterey county,M,1,metaconid,0,metaconid,0.5,1,metaconid,1,metaconid,1,1,metaconid,1,1,metaconid,0,paracone,1,metacone,1,paracone,1,paracone,,,0,paracone,9.79,12.1,9.47,12.88,8.37,9.81,14.75,,20.57,,1.235955056,1.360084477,1.172043011,0.873220339,32.74,30,,,,,64.41,46.87,27.11,21.04,188.62,98.73,
 LACM 30435,Odocoileus hemionus ,,11.1.1,Open Woodlands,548,,CA,"Los Angeles county, Big Pines Park",F,1,entoconid,1,entoconid,1,1,entoconid,,,1,0,metaconid,1,0.5,metaconid,1,paracone,0,metacone,0,metacone,1,paracone,0,paracone,0,paracone,8.4,15.3,8.16,12.9,7.49,8.45,15.69,,19.18,,1.821428571,1.580882353,1.128170895,0.822179732,33.72,,237.95,47.2,47.85,74.73,76.15,48.46,27.97,19.01,187.36,89.3,
 LACM 30436,Odocoileus hemionus ,,11.1.1,Open Woodlands,548,,CA,Marin county,M,1,metaconid,1,metaconid,1,1,metaconid,1,metaconid,1,1,entoconid,1,1,entoconid,,,,,,,,,,,,,9.13,10.72,9.9,10.25,8.47,7.86,15.59,,18.61,,1.17415115,1.035353535,0.92798111,0.657472739,,31.69,,,,,57.47,46.39,30.05,18.81,171.84,86.48,
 LACM 30455,Odocoileus hemionus ,,11.1.1,Open Woodlands,548,,CA,SC county,F,,,1,metaconid,1,1,metaconid,1,metaconid,1,1,entoconid,1,1,entoconid,0,metacone,0,paracone,1,metacone,1,paracone,1,paracone,1,paracone,8.53,15.24,9.27,12.13,8.21,9.43,16.48,,18.64,,1.786635404,1.308522114,1.148599269,0.736043689,34.05,34.38,227.86,43.86,39.51,69.33,56.26,51.84,34.3,19.22,181.54,90.28,
 LACM 30603,Odocoileus hemionus ,,11.1.1,Open Woodlands,548,,CA,"Los Angeles county, Big Pines Park",,,,,,,,,,,,,,,,,1,metacone,1,metacone,1,paracone,0,metacone,0,metacone,1,paracone,,,13.66,8.56,,,,,,,,0.626647145,,,,,,,,,,,,,,,
 LACM 30603,Odocoileus hemionus ,,11.1.1,Open Woodlands,548,,CA,"Los Angeles county, Big Pines Park",M,1,entoconid,1,entoconid,1,1,metaconid,1,metaconid,1,1,metaconid,1,1,entoconid,,,,,,,,,,,,,9.19,14.99,9.41,13.83,8.99,10,15.27,,19.48,,1.631120783,1.469713071,1.112347052,0.905697446,,35.17,,,,,75.54,50.97,33.69,23.58,215,113.5,
 LACM 30659,Odocoileus hemionus ,,11.1.1,Open Woodlands,548,,CA,"Los Angeles county, Big Pines Park",M,2,metaconid,2,metaconid,2,1,metaconid,1,metaconid,1,1,metaconid,1,1,metaconid,2,paracone,2,paracone,1,paracone,1,paracone,1,paracone,,,9.38,10.6,9.14,8.17,7.48,7.1,15.33,,20.43,,1.130063966,0.893873085,0.949197861,0.532941944,33.55,30.85,259.04,43.65,42.44,79.34,80.44,46.96,28,17.39,197.68,104.23,
 LACM 31103,Odocoileus virginianus,,8.5.2,Wet Plains,1395,,LA,Madison county,M,1,metaconid,1,metaconid,1,1,metaconid,1,metaconid,1,1,metaconid,1,1,metaconid,,,1,paracone,1,paracone,,,1,metacone,1,metacone,10.79,10.76,11.03,9.51,9.04,7.42,16.81,,21.92,,0.997219648,0.862194016,0.82079646,0.565734682,33.64,34.01,,49.9,53.83,97.23,81.19,52.51,30.69,23.82,234.1,,
